city,latitude,longitude,Software Dev,Web Developer,Data Analyst,QA Tester,DevOps Cloud,Cybersecurity,Full Stack Dev,ML Engineer
Ahmedabad,23.0225,72.5714,12,11,8,13,4,7,9,8
Bangalore,12.9716,77.5946,47,39,55,44,45,47,42,48
Bhopal,23.2599,77.4126,5,0,0,0,0,0,0,0
Chennai,13.0827,80.2707,17,14,14,22,27,17,9,24
Coimbatore,11.0168,76.9558,0,0,6,0,0,0,0,0
Delhi,28.6139,77.209,0,0,0,0,0,4,0,5
Gurugram,28.4595,77.0266,9,6,16,14,13,11,16,14
Hyderabad,17.385,78.4867,31,36,28,25,30,27,41,25
Indore,22.7196,75.8577,6,8,0,5,0,0,2,3
Jaipur,26.9124,75.7873,9,9,0,5,7,4,6,0
Kolkata,22.5726,88.3639,10,3,6,8,11,13,9,10
Mumbai,19.076,72.8777,13,24,25,20,16,25,16,17
Noida,28.5355,77.391,24,11,16,13,12,19,5,10
Pune,18.5204,73.8567,17,29,13,27,26,22,36,30
Remote,20.5937,78.9629,0,0,4,4,5,4,9,6
Surat,21.1702,72.8311,0,10,0,0,0,0,0,0
Thiruvananthapuram,8.5241,76.9366,0,0,0,0,4,0,0,0
