track,skill,frequency_pct
Software Dev,Git,98.0
Software Dev,SQL,62.5
Software Dev,Java,57.5
Software Dev,Spring Boot,47.5
Software Dev,Docker,36.0
Software Dev,REST API,35.0
Software Dev,Linux,34.5
Software Dev,Microservices,23.5
Software Dev,Algorithms,22.0
Software Dev,OOP,21.5
Software Dev,Data Structures,21.5
Software Dev,Python,21.5
Software Dev,MySQL,20.5
Software Dev,Angular,20.0
Software Dev,JavaScript,19.5
Software Dev,CSS,19.5
Software Dev,Hibernate,18.0
Software Dev,Backend,18.0
Software Dev,Maven,17.5
Software Dev,HTML,17.5
Software Dev,C++,16.0
Software Dev,Agile,14.5
Software Dev,MongoDB,11.5
Software Dev,JUnit,9.5
Software Dev,Flask,9.5
Web Developer,HTML,98.0
Web Developer,CSS,95.5
Web Developer,Git,91.5
Web Developer,JavaScript,80.5
Web Developer,REST API,60.5
Web Developer,Bootstrap,49.0
Web Developer,Node.js,34.0
Web Developer,PHP,33.5
Web Developer,MySQL,32.5
Web Developer,React,32.5
Web Developer,MongoDB,26.5
Web Developer,Express.js,20.0
Web Developer,WordPress,15.0
Web Developer,jQuery,14.0
Web Developer,Vue.js,12.5
Web Developer,Angular,12.5
Web Developer,TypeScript,12.0
Web Developer,Tailwind CSS,11.0
Web Developer,Laravel,10.0
Web Developer,Responsive Design,10.0
Web Developer,SEO,9.0
Web Developer,Next.js,7.0
Web Developer,SQL,7.0
Web Developer,Redux,5.0
Web Developer,Figma,5.0
Data Analyst,SQL,99.5
Data Analyst,Python,96.0
Data Analyst,Power BI,94.0
Data Analyst,Excel,88.0
Data Analyst,Tableau,49.5
Data Analyst,Pandas,39.5
Data Analyst,NumPy,31.0
Data Analyst,Data Analysis,29.5
Data Analyst,Data Management,23.0
Data Analyst,Google Sheets,23.0
Data Analyst,Business Intelligence,21.0
Data Analyst,Statistics,18.0
Data Analyst,Looker,16.5
Data Analyst,Data Visualization,16.5
Data Analyst,Matplotlib,15.5
Data Analyst,Data Processing,14.0
Data Analyst,Machine Learning,13.0
Data Analyst,Data Mining,11.0
Data Analyst,Seaborn,10.0
Data Analyst,Risk Management,9.5
Data Analyst,Data Cleansing,9.5
Data Analyst,Advanced Analytics,9.0
Data Analyst,SAS,9.0
Data Analyst,Advanced Excel,8.0
Data Analyst,MySQL,7.5
QA Tester,Selenium,96.0
QA Tester,JIRA,95.5
QA Tester,SQL,86.0
QA Tester,Java,70.5
QA Tester,Manual Testing,47.0
QA Tester,Git,46.0
QA Tester,TestNG,45.5
QA Tester,Test Cases,32.5
QA Tester,Test Automation,30.5
QA Tester,API Testing,30.0
QA Tester,Python,29.0
QA Tester,Postman,24.5
QA Tester,Pytest,21.5
QA Tester,Agile,18.5
QA Tester,Maven,16.5
QA Tester,JUnit,16.0
QA Tester,Cucumber,16.0
QA Tester,BDD,16.0
QA Tester,SDLC,15.0
QA Tester,STLC,13.5
QA Tester,Mobile Testing,6.5
QA Tester,Regression Testing,5.5
QA Tester,Appium,5.5
DevOps Cloud,CI/CD,96.0
DevOps Cloud,Docker,95.0
DevOps Cloud,Linux,92.5
DevOps Cloud,Kubernetes,92.0
DevOps Cloud,Git,77.0
DevOps Cloud,Jenkins,63.0
DevOps Cloud,Terraform,62.0
DevOps Cloud,AWS,57.5
DevOps Cloud,GCP,29.0
DevOps Cloud,Ansible,24.0
DevOps Cloud,Azure,22.0
DevOps Cloud,Python,17.5
DevOps Cloud,GitHub Actions,14.5
DevOps Cloud,Monitoring,11.5
DevOps Cloud,Load Balancing,8.5
DevOps Cloud,Monitoring Tools,7.5
DevOps Cloud,Nginx,5.5
Cybersecurity,SOC,93.0
Cybersecurity,Linux,85.0
Cybersecurity,SIEM,72.5
Cybersecurity,Incident Response,50.5
Cybersecurity,Python,43.5
Cybersecurity,Network Security,42.0
Cybersecurity,Networking,40.5
Cybersecurity,Compliance,39.5
Cybersecurity,Threat Analysis,33.5
Cybersecurity,Threat Detection,33.0
Cybersecurity,Risk Assessment,29.0
Cybersecurity,Risk Management,24.5
Cybersecurity,SIEM Tools,23.5
Cybersecurity,MDR,23.5
Cybersecurity,Root Cause Analysis,22.0
Cybersecurity,Vulnerability Assessment,20.5
Cybersecurity,Cybersecurity,18.0
Cybersecurity,Git,16.5
Cybersecurity,Incident Management,16.5
Cybersecurity,ISO,13.0
Cybersecurity,Penetration Testing,10.0
Cybersecurity,Kali Linux,10.0
Cybersecurity,Wireshark,9.0
Cybersecurity,Firewalls,8.0
Cybersecurity,Firewall,4.5
Full Stack Dev,React,98.5
Full Stack Dev,MongoDB,97.5
Full Stack Dev,Node.js,92.5
Full Stack Dev,Git,85.0
Full Stack Dev,Express.js,71.5
Full Stack Dev,JavaScript,62.5
Full Stack Dev,HTML,57.5
Full Stack Dev,CSS,56.5
Full Stack Dev,REST API,34.5
Full Stack Dev,MERN Stack,21.5
Full Stack Dev,Docker,19.0
Full Stack Dev,Bootstrap,13.5
Full Stack Dev,SQL,13.5
Full Stack Dev,TypeScript,13.0
Full Stack Dev,Redux,11.5
Full Stack Dev,Agile,8.0
Full Stack Dev,Jest,6.5
Full Stack Dev,Tailwind CSS,6.5
Full Stack Dev,CI/CD,6.0
Full Stack Dev,Next.js,5.5
ML Engineer,Git,97.0
ML Engineer,Python,94.0
ML Engineer,TensorFlow,82.5
ML Engineer,SQL,74.5
ML Engineer,Machine Learning,57.5
ML Engineer,Pandas,51.0
ML Engineer,NumPy,48.5
ML Engineer,NLP,44.0
ML Engineer,Deep Learning,42.0
ML Engineer,Scikit-learn,40.5
ML Engineer,PyTorch,32.0
ML Engineer,Linux,29.0
ML Engineer,Computer Vision,20.5
ML Engineer,LLM,19.5
ML Engineer,Statistics,15.0
ML Engineer,OpenCV,11.0
ML Engineer,Neural Networks,11.0
ML Engineer,Reinforcement Learning,8.5
ML Engineer,Keras,5.0
