skill,data_analyst,ml_engineer,web_developer,devops_cloud,cybersecurity,software_dev,qa_tester,full_stack_dev
.Net,0,0,0,0,0,1,0,0
API Testing,0,0,0,0,0,0,1,0
AWS,0,0,0,1,0,0,0,0
Advanced Analytics,0,0,0,0,0,0,0,0
Advanced Excel,1,0,0,0,0,0,0,0
Agile,0,0,0,0,0,1,1,0
Algorithms,0,0,0,0,0,1,0,0
Angular,0,0,1,0,0,1,0,0
Ansible,0,0,0,1,0,0,0,0
Apache Spark,1,0,0,0,0,0,0,0
Appium,0,0,0,0,0,0,1,0
Azure,0,0,0,1,0,0,0,0
BDD,0,0,0,0,0,0,1,0
Backend,0,0,0,0,0,1,0,1
Backend Development,0,0,0,0,0,1,0,1
Bootstrap,0,0,1,0,0,0,0,1
Business Intelligence,1,0,0,0,0,0,0,0
C#,0,0,1,0,0,1,0,0
C++,0,1,0,0,0,1,0,0
CI/CD,0,0,0,1,0,0,0,0
CSS,0,0,1,0,0,0,0,1
Compliance,0,0,0,0,1,0,0,0
Computer Vision,0,1,0,0,0,0,0,0
Cucumber,0,0,0,0,0,0,1,0
Cybersecurity,0,0,0,0,0,0,0,0
Dashboards,0,0,0,0,0,0,0,0
Data Analysis,1,0,0,0,0,0,0,0
Data Cleansing,1,0,0,0,0,0,0,0
Data Management,1,0,0,0,0,0,0,0
Data Mining,1,0,0,0,0,0,0,0
Data Processing,0,0,0,0,0,0,0,0
Data Quality,1,0,0,0,0,0,0,0
Data Structures,0,1,0,0,0,1,0,0
Data Visualization,1,0,0,0,0,0,0,0
Deep Learning,0,1,0,0,0,0,0,0
Django,0,0,0,0,0,0,0,0
Docker,0,0,0,1,0,0,0,0
Ethical Hacking,0,0,0,0,1,0,0,0
Excel,1,0,0,0,0,0,0,0
Express.js,0,0,0,0,0,0,0,1
Figma,0,0,1,0,0,0,0,1
Firewall,0,0,0,0,1,0,0,0
Firewalls,0,0,0,0,0,0,0,0
Flask,0,0,0,0,0,0,0,0
GCP,0,0,0,1,0,0,0,0
Git,0,0,0,0,0,0,0,0
GitHub Actions,0,0,0,1,0,0,0,0
Google Sheets,1,0,0,0,0,0,0,0
HTML,0,0,1,0,0,0,0,1
Hibernate,0,0,0,0,0,1,0,0
ISO,0,0,0,0,1,0,0,0
Incident Management,0,0,0,0,1,0,0,0
Incident Response,0,0,0,0,1,0,0,0
JIRA,0,0,0,0,0,0,1,0
JUnit,0,0,0,0,0,1,1,0
Java,0,0,0,0,0,1,0,0
JavaScript,0,0,1,0,0,0,0,1
Jenkins,0,0,0,1,0,0,1,0
Jest,0,0,0,0,0,0,1,1
Kali Linux,0,0,0,0,1,0,0,0
Keras,0,1,0,0,0,0,0,0
Kubernetes,0,0,0,1,0,0,0,0
LLM,0,1,0,0,0,0,0,0
Laravel,0,0,1,0,0,0,0,0
